"fecha";"Run Fondo";"serie";"1 mes";"3 meses";"6 meses";"1 año ";"ytd"
2023-01-31;"8108";APV;-0.26%;"2.21%";-2.11%;"1.03%";%
2023-02-01;"8108";APV;-0.30%;"2.17%";-2.16%;"0.76%";%
2023-02-02;"8108";APV;-0.18%;"2.28%";-2.12%;"0.88%";%
2023-02-03;"8108";APV;-0.14%;"2.20%";-2.00%;"0.84%";%
2023-02-04;"8108";APV;-0.18%;"2.11%";-1.98%;"0.85%";%
2023-02-05;"8108";APV;-0.07%;"2.11%";-1.78%;"0.85%";%
2023-02-06;"8108";APV;-0.33%;"1.79%";-2.08%;"0.54%";%
2023-02-07;"8108";APV;-0.40%;"1.53%";-2.15%;"0.54%";%
2023-02-08;"8108";APV;-0.38%;"1.28%";-2.21%;"0.33%";%
2023-02-09;"8108";APV;-0.51%;"0.57%";-2.23%;"0.37%";%
2023-02-10;"8108";APV;-0.71%;-0.09%;-2.46%;"0.28%";%
2023-02-11;"8108";APV;-0.94%;-0.25%;-2.32%;"0.55%";%
2023-02-12;"8108";APV;-1.16%;-0.25%;-2.17%;"0.56%";%
2023-02-13;"8108";APV;-1.15%;-0.32%;-2.24%;"0.49%";%
2023-02-14;"8108";APV;-1.22%;-0.49%;-2.30%;"0.23%";%
2023-02-15;"8108";APV;-1.35%;-1.26%;-2.42%;"0.27%";%
2023-02-16;"8108";APV;-1.30%;-1.43%;-2.05%;"0.43%";%
2023-02-17;"8108";APV;-1.21%;-1.11%;-1.61%;"0.48%";%
2023-02-18;"8108";APV;-1.17%;-1.02%;-1.23%;"0.46%";%
2023-02-19;"8108";APV;-1.10%;-1.02%;-0.88%;"0.46%";%
2023-02-20;"8108";APV;-0.88%;-0.98%;-0.83%;"0.51%";%
2023-02-21;"8108";APV;-1.00%;-1.28%;-0.95%;"0.48%";%
2023-02-22;"8108";APV;-1.06%;-1.41%;-0.62%;"0.40%";%
2023-02-23;"8108";APV;-1.14%;-1.21%;-0.47%;"0.22%";%
2023-02-24;"8108";APV;-1.05%;-1.09%;-0.44%;"0.04%";%
2023-02-25;"8108";APV;-1.00%;-1.00%;-0.38%;"0.03%";%
2023-02-26;"8108";APV;-1.01%;-1.00%;-0.54%;"0.03%";%
2023-02-27;"8108";APV;-0.92%;-0.90%;-0.43%;"0.14%";%
2023-02-28;"8108";APV;-0.91%;-0.84%;-0.42%;"0.10%";%
2023-03-01;"8108";APV;-0.63%;-1.14%;-0.79%;-0.57%;%
2023-03-02;"8108";APV;-0.91%;-1.48%;-1.32%;-0.89%;%
2023-03-03;"8108";APV;-0.88%;-1.51%;-1.34%;-0.88%;%
2023-03-04;"8108";APV;-0.89%;-1.51%;-1.34%;-1.07%;%
2023-03-05;"8108";APV;-0.89%;-1.53%;-1.66%;-1.06%;%
2023-03-06;"8108";APV;-0.65%;-1.40%;-1.58%;-1.13%;%
2023-03-07;"8108";APV;-0.52%;-1.28%;-1.10%;-1.41%;%
2023-03-08;"8108";APV;-0.67%;-1.42%;-1.11%;-1.44%;%
2023-03-09;"8108";APV;-0.77%;-1.62%;-1.16%;-1.80%;%
2023-03-10;"8108";APV;-0.35%;-1.36%;-0.89%;-1.96%;%
2023-03-11;"8108";APV;-0.35%;-1.35%;-0.89%;-1.90%;%
2023-03-12;"8108";APV;-0.34%;-1.23%;-0.79%;-1.89%;%
2023-03-13;"8108";APV;"0.59%";-0.47%;"0.02%";-1.04%;%
2023-03-14;"8108";APV;"0.57%";-0.60%;-0.09%;-0.97%;%
2023-03-15;"8108";APV;"0.86%";-0.43%;"0.12%";-0.33%;%
2023-03-16;"8108";APV;"0.87%";-0.29%;"0.14%";-0.14%;%
2023-03-17;"8108";APV;"0.95%";-0.15%;"0.29%";"0.20%";%
2023-03-18;"8108";APV;"0.95%";-0.14%;"0.30%";"0.32%";%
2023-03-19;"8108";APV;"0.96%";"0.11%";"0.30%";"0.32%";%
2023-03-20;"8108";APV;"1.09%";"0.31%";"0.44%";"0.50%";%
2023-03-21;"8108";APV;"1.24%";"0.56%";"0.65%";"0.61%";%
2023-03-22;"8108";APV;"1.15%";"0.37%";"0.93%";"0.72%";%
2023-03-23;"8108";APV;"1.39%";"0.64%";"1.31%";"0.98%";%
2023-03-24;"8108";APV;"1.48%";"0.87%";"1.54%";"1.27%";%
2023-03-25;"8108";APV;"1.48%";"0.87%";"1.55%";"1.34%";%
2023-03-26;"8108";APV;"1.48%";"0.97%";"2.02%";"1.34%";%
2023-03-27;"8108";APV;"1.12%";"0.63%";"2.33%";"1.08%";%
2023-03-28;"8108";APV;"1.27%";"0.66%";"2.86%";"1.43%";%
2023-03-29;"8108";APV;"1.28%";"0.61%";"3.03%";"1.29%";%
2023-03-30;"8108";APV;"1.63%";"0.88%";"3.34%";"1.32%";%
2023-03-31;"8108";APV;"1.71%";"0.96%";"3.42%";"0.78%";%
2023-04-01;"8108";APV;"1.91%";"0.96%";"3.42%";"0.44%";%
2023-04-02;"8108";APV;"2.08%";"0.97%";"3.42%";"0.45%";%
2023-04-03;"8108";APV;"2.33%";"1.28%";"3.65%";"0.67%";%
2023-04-04;"8108";APV;"2.22%";"1.13%";"3.77%";"0.30%";%
2023-04-05;"8108";APV;"2.04%";"1.06%";"3.94%";"0.01%";%
2023-04-06;"8108";APV;"2.56%";"1.55%";"4.75%";"0.57%";%
